Field of Study,Current Occupation,Age,Gender,Years of Experience,Education Level,Industry Growth Rate,Job Satisfaction,Work-Life Balance,Job Opportunities,Salary,Job Security,Career Change Interest,Skills Gap,Certifications,Freelancing Experience,Geographic Mobility,Professional Networks,Career Change Events,Technology Adoption,Likely to Change Occupation,Education Level (ord),Industry Growth Rate (ord)
Biology,Lawyer,58.0,Female,0.0,Master's,Low,10.0,5.0,10.0,114572.0,3.0,0.0,9.0,0.0,1.0,0.0,9.0,2.0,2.0,0.0,2.0,0.0
Law,Artist,31.0,Female,9.0,PhD,Low,3.0,4.0,36.0,117372.0,10.0,1.0,8.0,0.0,0.0,1.0,10.0,1.0,10.0,1.0,3.0,0.0
Business,Doctor,24.0,Female,10.0,Bachelor's,Low,4.0,5.0,71.0,31880.71,10.0,1.0,5.0,0.0,0.0,1.0,6.0,2.0,2.0,1.0,1.0,0.0
Arts,Economist,45.0,Male,5.0,PhD,Low,1.0,10.0,5.0,161587.0,7.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,6.0,1.0,3.0,0.0
Computer Science,Biologist,33.0,Female,30.0,PhD,High,6.0,9.0,34.0,198471.21,8.0,0.0,6.0,1.0,0.0,0.0,6.0,1.0,7.0,0.0,3.0,2.0
Arts,Psychologist,24.0,Male,8.0,High School,High,6.0,5.0,68.0,73441.0,8.0,0.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0
Psychology,Mechanical Engineer,49.0,Female,35.0,Master's,Low,7.0,9.0,78.0,140766.0,1.0,0.0,8.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,0.0
Education,Mechanical Engineer,35.0,Male,0.0,Master's,Low,8.0,3.0,27.0,95032.0,9.0,0.0,4.0,0.0,1.0,0.0,4.0,2.0,10.0,0.0,2.0,0.0
Economics,Lawyer,47.0,Male,30.0,Bachelor's,Low,8.0,8.0,69.0,114024.0,4.0,0.0,4.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0
Business,Mechanical Engineer,55.0,Male,25.0,Master's,Low,3.0,5.0,63.0,136065.0,8.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,5.0,1.0,2.0,0.0
Computer Science,Business Analyst,47.0,Female,28.0,Bachelor's,High,2.0,4.0,95.0,96178.0,1.0,0.0,2.0,0.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,2.0
Medicine,Psychologist,36.0,Male,39.0,PhD,Low,2.0,2.0,45.0,131024.0,10.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,6.0,1.0,3.0,0.0
Law,Teacher,55.0,Female,3.0,PhD,Medium,4.0,8.0,67.0,123595.0,5.0,0.0,2.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,3.0,1.0
Medicine,Lawyer,53.0,Male,17.0,High School,High,4.0,1.0,62.0,96728.0,6.0,0.0,9.0,0.0,0.0,1.0,10.0,1.0,5.0,1.0,0.0,2.0
Law,Software Developer,42.0,Female,12.0,Bachelor's,Medium,9.0,6.0,99.0,157944.0,2.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,2.0,0.0,1.0,1.0
Mechanical Engineering,Psychologist,23.0,Male,21.0,High School,High,5.0,9.0,81.0,127192.0,7.0,0.0,8.0,0.0,1.0,1.0,10.0,1.0,9.0,0.0,0.0,2.0
Economics,Biologist,44.0,Male,12.0,High School,Low,8.0,10.0,62.0,185507.0,4.0,0.0,8.0,1.0,1.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0
Economics,Teacher,43.0,Male,17.0,Master's,Low,2.0,6.0,21.0,126417.0,9.0,0.0,6.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,2.0,0.0
Computer Science,Mechanical Engineer,39.0,Female,4.0,High School,Low,7.0,4.0,45.0,64832.0,8.0,0.0,9.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0
Law,Business Analyst,29.0,Male,23.0,Master's,Low,1.0,4.0,77.0,156473.0,9.0,0.0,1.0,0.0,1.0,0.0,6.0,2.0,10.0,1.0,2.0,0.0
Education,Software Developer,41.0,Female,2.0,Bachelor's,High,10.0,8.0,32.0,90630.0,2.0,1.0,7.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0
Computer Science,Lawyer,23.0,Male,21.0,Master's,High,9.0,7.0,64.0,138487.0,8.0,0.0,7.0,1.0,0.0,1.0,10.0,0.0,10.0,0.0,2.0,2.0
Law,Artist,38.0,Male,16.0,Bachelor's,Medium,5.0,7.0,6.0,173549.0,2.0,0.0,2.0,0.0,0.0,0.0,8.0,1.0,8.0,0.0,1.0,1.0
Education,Artist,33.0,Male,16.0,High School,Medium,8.0,1.0,52.0,63306.0,9.0,1.0,4.0,0.0,0.0,1.0,8.0,0.0,6.0,1.0,0.0,1.0
Computer Science,Software Developer,50.0,Male,11.0,PhD,Low,5.0,9.0,25.0,84379.0,7.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,0.0
Mechanical Engineering,Business Analyst,44.0,Male,4.0,PhD,High,2.0,7.0,38.0,142604.0,7.0,1.0,6.0,1.0,0.0,0.0,4.0,2.0,1.0,1.0,3.0,2.0
Psychology,Software Developer,23.0,Female,3.0,Master's,High,7.0,5.0,97.0,112148.0,7.0,0.0,5.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,2.0,2.0
Biology,Teacher,40.0,Female,35.0,High School,Medium,1.0,9.0,87.0,54295.0,8.0,0.0,1.0,0.0,0.0,1.0,7.0,2.0,10.0,1.0,0.0,1.0
Business,Teacher,57.0,Male,1.0,Master's,Medium,2.0,2.0,81.0,121948.0,7.0,1.0,8.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0
Economics,Business Analyst,35.0,Male,15.0,Bachelor's,Low,6.0,3.0,71.0,38200.0,10.0,1.0,3.0,1.0,0.0,0.0,5.0,0.0,5.0,1.0,1.0,0.0
Law,Psychologist,40.0,Male,25.0,PhD,Medium,5.0,4.0,98.0,38538.0,4.0,0.0,7.0,1.0,1.0,0.0,3.0,1.0,9.0,1.0,3.0,1.0
Medicine,Software Developer,20.0,Male,2.0,High School,High,8.0,9.0,21.0,183110.0,10.0,0.0,8.0,1.0,0.0,0.0,6.0,2.0,7.0,0.0,0.0,2.0
Economics,Doctor,58.0,Female,39.0,PhD,Medium,10.0,5.0,79.0,106321.0,3.0,0.0,8.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,3.0,1.0
Business,Biologist,33.0,Male,32.0,High School,High,2.0,3.0,45.0,106162.0,1.0,1.0,4.0,1.0,1.0,0.0,4.0,2.0,6.0,1.0,0.0,2.0
Mechanical Engineering,Economist,40.0,Female,16.0,Master's,Medium,3.0,7.0,95.0,161611.0,8.0,0.0,8.0,1.0,0.0,0.0,9.0,1.0,7.0,1.0,2.0,1.0
Psychology,Teacher,28.0,Male,23.0,High School,High,5.0,6.0,39.0,90844.0,5.0,0.0,6.0,1.0,0.0,0.0,4.0,1.0,10.0,0.0,0.0,2.0
Law,Software Developer,54.0,Female,6.0,Bachelor's,Low,1.0,8.0,20.0,121679.0,1.0,0.0,5.0,0.0,0.0,0.0,4.0,1.0,7.0,1.0,1.0,0.0
Law,Lawyer,27.0,Female,4.0,Master's,Low,7.0,2.0,15.0,117162.0,2.0,0.0,9.0,1.0,0.0,0.0,4.0,0.0,10.0,0.0,2.0,0.0
Law,Psychologist,50.0,Male,36.0,High School,High,1.0,5.0,39.0,198471.21,10.0,0.0,5.0,0.0,1.0,1.0,4.0,1.0,6.0,1.0,0.0,2.0
Law,Psychologist,45.0,Female,39.0,High School,High,6.0,2.0,62.0,134777.0,9.0,0.0,6.0,0.0,0.0,1.0,8.0,1.0,1.0,0.0,0.0,2.0
Education,Doctor,47.0,Male,36.0,Master's,Low,10.0,4.0,17.0,112725.0,1.0,0.0,8.0,0.0,0.0,0.0,2.0,1.0,9.0,0.0,2.0,0.0
Mechanical Engineering,Economist,56.0,Male,28.0,Bachelor's,Low,9.0,2.0,2.0,95656.0,9.0,0.0,4.0,1.0,0.0,1.0,2.0,2.0,4.0,0.0,1.0,0.0
Economics,Business Analyst,30.0,Male,14.0,PhD,High,5.0,6.0,25.0,82910.0,6.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,7.0,1.0,3.0,2.0
Medicine,Psychologist,42.0,Male,2.0,High School,Low,9.0,8.0,29.0,122903.0,1.0,0.0,5.0,0.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0
Economics,Artist,25.0,Female,1.0,PhD,Medium,8.0,6.0,28.0,139752.0,9.0,0.0,2.0,0.0,0.0,0.0,10.0,2.0,10.0,0.0,3.0,1.0
Biology,Artist,42.0,Female,23.0,High School,High,10.0,4.0,70.0,76979.0,1.0,0.0,6.0,1.0,0.0,1.0,6.0,1.0,8.0,0.0,0.0,2.0
Mechanical Engineering,Business Analyst,52.0,Female,33.0,Master's,Low,6.0,7.0,43.0,107908.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0
Arts,Software Developer,40.0,Female,13.0,Master's,High,9.0,6.0,29.0,174365.0,6.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,2.0,2.0
Business,Psychologist,21.0,Male,17.0,Bachelor's,Low,2.0,2.0,44.0,100134.0,9.0,0.0,6.0,0.0,0.0,0.0,5.0,2.0,5.0,1.0,1.0,0.0
Mechanical Engineering,Psychologist,58.0,Female,15.0,PhD,Low,1.0,6.0,17.0,53531.0,8.0,0.0,10.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0,0.0
Economics,Mechanical Engineer,46.0,Male,35.0,PhD,High,10.0,3.0,17.0,86161.0,10.0,0.0,7.0,0.0,0.0,0.0,6.0,1.0,8.0,0.0,3.0,2.0
Mechanical Engineering,Lawyer,55.0,Female,19.0,PhD,Low,4.0,8.0,24.0,66654.0,2.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,3.0,0.0
Mechanical Engineering,Psychologist,31.0,Female,23.0,PhD,Medium,2.0,8.0,76.0,53065.0,10.0,0.0,3.0,0.0,0.0,0.0,8.0,2.0,4.0,1.0,3.0,1.0
Psychology,Psychologist,21.0,Male,1.0,Bachelor's,Low,4.0,6.0,92.0,125271.0,6.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0
Medicine,Economist,57.0,Female,19.0,PhD,High,3.0,1.0,26.0,198471.21,8.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,1.0,1.0,3.0,2.0
Arts,Teacher,32.0,Male,39.0,Bachelor's,High,8.0,7.0,32.0,98614.0,4.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,1.0,2.0
Law,Teacher,34.0,Female,9.0,PhD,Low,8.0,1.0,8.0,147248.0,6.0,0.0,7.0,0.0,0.0,0.0,6.0,2.0,6.0,0.0,3.0,0.0
Arts,Artist,59.0,Male,2.0,PhD,Low,10.0,8.0,73.0,105404.0,8.0,0.0,7.0,0.0,0.0,0.0,7.0,1.0,2.0,0.0,3.0,0.0
Education,Biologist,46.0,Male,37.0,Master's,Medium,9.0,1.0,82.0,73402.0,6.0,0.0,6.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,2.0,1.0
Arts,Software Developer,25.0,Female,6.0,Bachelor's,Low,9.0,5.0,47.0,150635.0,1.0,1.0,9.0,1.0,0.0,0.0,3.0,2.0,5.0,1.0,1.0,0.0
Medicine,Biologist,56.0,Female,17.0,PhD,High,7.0,1.0,9.0,67864.0,8.0,0.0,5.0,1.0,0.0,0.0,9.0,0.0,8.0,0.0,3.0,2.0
Medicine,Teacher,21.0,Female,6.0,Bachelor's,Medium,6.0,9.0,45.0,44601.0,4.0,1.0,2.0,0.0,1.0,1.0,7.0,0.0,8.0,1.0,1.0,1.0
Business,Doctor,46.0,Male,34.0,PhD,Medium,4.0,9.0,96.0,119064.0,2.0,0.0,9.0,0.0,0.0,0.0,3.0,1.0,10.0,1.0,3.0,1.0
Medicine,Mechanical Engineer,21.0,Female,19.0,Bachelor's,Low,4.0,2.0,60.0,194641.0,5.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,5.0,1.0,1.0,0.0
Education,Software Developer,51.0,Female,27.0,Bachelor's,Medium,9.0,10.0,52.0,142612.0,2.0,0.0,1.0,0.0,1.0,0.0,9.0,0.0,2.0,0.0,1.0,1.0
Medicine,Mechanical Engineer,29.0,Male,1.0,Master's,Medium,1.0,9.0,10.0,89890.0,1.0,0.0,6.0,1.0,0.0,0.0,5.0,0.0,3.0,1.0,2.0,1.0
Mechanical Engineering,Doctor,59.0,Female,3.0,Master's,Medium,9.0,4.0,14.0,158507.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,3.0,0.0,2.0,1.0
Biology,Software Developer,35.0,Female,36.0,High School,Low,8.0,2.0,21.0,80299.0,8.0,0.0,4.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0
Mechanical Engineering,Teacher,47.0,Female,30.0,Bachelor's,Low,4.0,4.0,75.0,148283.0,2.0,1.0,9.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0
Medicine,Doctor,59.0,Male,10.0,PhD,Medium,2.0,4.0,54.0,198471.21,1.0,0.0,8.0,1.0,0.0,0.0,7.0,2.0,3.0,1.0,3.0,1.0
Computer Science,Software Developer,52.0,Male,22.0,Bachelor's,High,6.0,1.0,74.0,142199.0,5.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,6.0,1.0,1.0,2.0
Mechanical Engineering,Economist,54.0,Male,15.0,Master's,High,1.0,10.0,44.0,113795.0,7.0,0.0,9.0,0.0,0.0,0.0,8.0,2.0,7.0,1.0,2.0,2.0
Law,Software Developer,29.0,Male,20.0,High School,High,10.0,9.0,65.0,37886.0,10.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,5.0,1.0,0.0,2.0
Medicine,Lawyer,55.0,Female,5.0,Bachelor's,Medium,1.0,7.0,23.0,162195.0,3.0,0.0,8.0,0.0,0.0,0.0,10.0,1.0,6.0,1.0,1.0,1.0
Mechanical Engineering,Software Developer,58.0,Female,9.0,Bachelor's,Low,6.0,7.0,55.0,136246.0,4.0,0.0,10.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,1.0,0.0
Business,Mechanical Engineer,23.0,Male,39.0,Bachelor's,High,5.0,6.0,36.0,196851.0,4.0,0.0,10.0,0.0,0.0,0.0,2.0,1.0,8.0,0.0,1.0,2.0
Law,Software Developer,27.0,Male,12.0,Master's,High,3.0,2.0,97.0,175260.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,2.0,2.0
Medicine,Mechanical Engineer,29.0,Female,22.0,High School,Low,4.0,8.0,42.0,189077.0,3.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,7.0,1.0,0.0,0.0
Arts,Psychologist,23.0,Male,23.0,Bachelor's,Low,3.0,1.0,82.0,153113.0,10.0,1.0,7.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0,1.0,0.0
Psychology,Lawyer,36.0,Male,38.0,Bachelor's,Low,7.0,7.0,93.0,153708.0,5.0,0.0,7.0,0.0,1.0,0.0,7.0,2.0,6.0,0.0,1.0,0.0
Biology,Psychologist,22.0,Female,21.0,High School,Low,2.0,4.0,20.0,136233.0,2.0,0.0,9.0,0.0,0.0,1.0,6.0,0.0,10.0,1.0,0.0,0.0
Business,Software Developer,36.0,Female,7.0,Bachelor's,Low,4.0,10.0,51.0,113370.0,10.0,0.0,1.0,0.0,0.0,1.0,8.0,1.0,9.0,1.0,1.0,0.0
Economics,Biologist,27.0,Female,34.0,PhD,High,4.0,7.0,6.0,98439.0,7.0,0.0,2.0,0.0,0.0,1.0,10.0,2.0,8.0,1.0,3.0,2.0
Arts,Psychologist,58.0,Female,8.0,Bachelor's,Medium,5.0,9.0,31.0,36464.0,9.0,0.0,5.0,0.0,0.0,0.0,7.0,2.0,10.0,1.0,1.0,1.0
Law,Software Developer,21.0,Male,32.0,PhD,Low,10.0,2.0,69.0,105966.0,9.0,0.0,6.0,1.0,0.0,1.0,7.0,1.0,2.0,0.0,3.0,0.0
Law,Business Analyst,42.0,Female,33.0,PhD,Medium,1.0,9.0,59.0,110561.0,4.0,0.0,8.0,1.0,0.0,0.0,3.0,0.0,9.0,1.0,3.0,1.0
Psychology,Business Analyst,52.0,Male,16.0,High School,Medium,7.0,10.0,27.0,62023.0,8.0,0.0,6.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0
Arts,Teacher,29.0,Female,25.0,High School,Low,7.0,4.0,58.0,46088.0,4.0,0.0,10.0,1.0,0.0,1.0,9.0,1.0,9.0,1.0,0.0,0.0
Medicine,Biologist,41.0,Male,2.0,PhD,High,10.0,5.0,68.0,101922.0,6.0,1.0,9.0,1.0,0.0,1.0,10.0,1.0,8.0,1.0,3.0,2.0
Mechanical Engineering,Lawyer,41.0,Male,28.0,High School,Medium,7.0,6.0,99.0,195604.0,4.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,1.0
Law,Artist,35.0,Male,14.0,PhD,High,4.0,6.0,95.0,114452.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,4.0,1.0,3.0,2.0
Mechanical Engineering,Artist,32.0,Female,16.0,High School,High,1.0,4.0,18.0,56431.0,9.0,0.0,9.0,1.0,0.0,0.0,8.0,0.0,10.0,1.0,0.0,2.0
Education,Economist,52.0,Male,13.0,PhD,Medium,1.0,9.0,17.0,180584.0,3.0,0.0,7.0,0.0,1.0,0.0,5.0,2.0,8.0,1.0,3.0,1.0
Economics,Mechanical Engineer,21.0,Female,30.0,High School,Medium,6.0,9.0,13.0,99631.0,8.0,0.0,2.0,0.0,0.0,0.0,6.0,2.0,8.0,0.0,0.0,1.0
Law,Doctor,40.0,Female,37.0,Bachelor's,Low,3.0,7.0,85.0,167146.0,6.0,0.0,5.0,0.0,0.0,1.0,6.0,0.0,6.0,1.0,1.0,0.0
Computer Science,Business Analyst,43.0,Female,28.0,Bachelor's,Low,8.0,2.0,86.0,55382.0,7.0,0.0,7.0,0.0,0.0,0.0,8.0,2.0,3.0,0.0,1.0,0.0
Biology,Artist,33.0,Female,24.0,Master's,High,5.0,3.0,11.0,164403.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,5.0,0.0,2.0,2.0
Law,Doctor,53.0,Female,11.0,Master's,High,6.0,8.0,80.0,109176.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,2.0,3.0,0.0,2.0,2.0
Economics,Psychologist,37.0,Male,19.0,High School,High,1.0,3.0,57.0,116754.0,1.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,4.0,1.0,0.0,2.0
Psychology,Economist,37.0,Male,7.0,Master's,High,5.0,8.0,85.0,50691.0,10.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,2.0,0.0,2.0,2.0
Law,Economist,51.0,Female,10.0,PhD,Medium,9.0,8.0,84.0,76679.0,4.0,0.0,5.0,1.0,0.0,0.0,5.0,2.0,10.0,0.0,3.0,1.0
Medicine,Economist,57.0,Female,31.0,High School,Medium,9.0,1.0,64.0,78527.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,1.0
Psychology,Artist,50.0,Male,39.0,Bachelor's,High,9.0,10.0,74.0,161505.0,5.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,1.0,2.0
Education,Artist,30.0,Female,19.0,Master's,High,8.0,9.0,45.0,145628.0,2.0,1.0,10.0,0.0,0.0,0.0,5.0,2.0,4.0,1.0,2.0,2.0
Arts,Mechanical Engineer,47.0,Female,24.0,PhD,Medium,5.0,3.0,55.0,84115.0,1.0,0.0,8.0,1.0,1.0,0.0,3.0,0.0,3.0,0.0,3.0,1.0
Psychology,Biologist,29.0,Female,2.0,Bachelor's,High,1.0,7.0,91.0,72568.0,5.0,0.0,10.0,0.0,0.0,0.0,3.0,2.0,6.0,1.0,1.0,2.0
Computer Science,Doctor,34.0,Male,29.0,Bachelor's,Medium,3.0,1.0,16.0,167438.0,1.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,2.0,1.0,1.0,1.0
Psychology,Business Analyst,44.0,Female,17.0,PhD,Medium,10.0,2.0,33.0,184398.0,8.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,10.0,0.0,3.0,1.0
Economics,Teacher,30.0,Female,7.0,PhD,High,2.0,10.0,84.0,86813.0,10.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,3.0,2.0
Mechanical Engineering,Teacher,39.0,Female,20.0,High School,Medium,2.0,8.0,5.0,140935.0,9.0,0.0,9.0,0.0,0.0,0.0,10.0,1.0,9.0,1.0,0.0,1.0
Medicine,Business Analyst,42.0,Female,4.0,PhD,Low,9.0,9.0,36.0,151063.0,5.0,1.0,6.0,0.0,0.0,0.0,8.0,0.0,6.0,1.0,3.0,0.0
Biology,Artist,55.0,Female,29.0,High School,High,7.0,1.0,30.0,125470.0,9.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,6.0,0.0,0.0,2.0
Education,Lawyer,28.0,Female,5.0,Master's,Medium,4.0,4.0,91.0,167882.0,7.0,0.0,8.0,0.0,0.0,1.0,8.0,0.0,6.0,1.0,2.0,1.0
Medicine,Lawyer,43.0,Female,6.0,Bachelor's,Medium,7.0,8.0,27.0,90276.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,1.0,1.0
Computer Science,Teacher,49.0,Female,37.0,PhD,High,4.0,3.0,91.0,171224.0,1.0,0.0,2.0,1.0,0.0,1.0,6.0,1.0,5.0,1.0,3.0,2.0
Business,Lawyer,54.0,Male,16.0,High School,Low,3.0,2.0,96.0,178538.0,6.0,0.0,1.0,0.0,0.0,1.0,9.0,0.0,4.0,1.0,0.0,0.0
Education,Psychologist,56.0,Female,31.0,Bachelor's,High,7.0,5.0,2.0,38237.0,9.0,1.0,7.0,0.0,1.0,1.0,9.0,1.0,2.0,1.0,1.0,2.0
Economics,Biologist,29.0,Male,4.0,Bachelor's,Medium,6.0,7.0,89.0,145197.0,5.0,1.0,5.0,1.0,0.0,0.0,5.0,1.0,5.0,1.0,1.0,1.0
Biology,Business Analyst,32.0,Male,4.0,Bachelor's,Medium,1.0,5.0,28.0,154795.0,6.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0
Economics,Business Analyst,21.0,Male,6.0,PhD,Low,6.0,8.0,93.0,108345.0,5.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,3.0,0.0
Economics,Psychologist,46.0,Female,11.0,PhD,Low,1.0,3.0,15.0,194131.0,10.0,0.0,3.0,1.0,0.0,1.0,8.0,0.0,10.0,1.0,3.0,0.0
Law,Economist,41.0,Male,25.0,Bachelor's,Medium,1.0,8.0,69.0,61063.0,3.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,4.0,1.0,1.0,1.0
Education,Psychologist,28.0,Female,14.0,Master's,High,7.0,5.0,86.0,56104.0,6.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,2.0,2.0
Biology,Economist,58.0,Male,1.0,PhD,Medium,4.0,5.0,51.0,172321.0,1.0,0.0,9.0,0.0,0.0,0.0,8.0,1.0,6.0,1.0,3.0,1.0
Business,Lawyer,47.0,Female,11.0,Master's,High,4.0,5.0,9.0,144445.0,3.0,1.0,2.0,1.0,0.0,0.0,6.0,2.0,9.0,1.0,2.0,2.0
Business,Software Developer,40.0,Female,7.0,Master's,High,1.0,2.0,15.0,136537.0,4.0,0.0,1.0,0.0,0.0,1.0,10.0,0.0,8.0,1.0,2.0,2.0
Education,Economist,46.0,Male,25.0,High School,Low,7.0,2.0,46.0,182583.0,2.0,0.0,8.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0
Medicine,Psychologist,44.0,Female,26.0,Master's,Medium,4.0,2.0,32.0,42587.0,4.0,0.0,8.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
Computer Science,Business Analyst,29.0,Male,16.0,PhD,Medium,8.0,10.0,65.0,136934.0,7.0,0.0,6.0,0.0,0.0,0.0,9.0,2.0,1.0,0.0,3.0,1.0
Economics,Business Analyst,30.0,Female,30.0,PhD,High,5.0,9.0,67.0,115547.0,2.0,0.0,10.0,0.0,0.0,1.0,6.0,0.0,5.0,0.0,3.0,2.0
Education,Psychologist,31.0,Male,21.0,Master's,Low,7.0,10.0,42.0,79268.0,4.0,1.0,7.0,0.0,0.0,1.0,5.0,0.0,9.0,1.0,2.0,0.0
Business,Teacher,38.0,Female,24.0,PhD,High,2.0,4.0,91.0,35189.0,7.0,0.0,3.0,0.0,0.0,0.0,8.0,2.0,8.0,1.0,3.0,2.0
Medicine,Biologist,34.0,Female,19.0,Bachelor's,Medium,10.0,2.0,57.0,95537.0,2.0,1.0,2.0,1.0,0.0,0.0,3.0,2.0,10.0,1.0,1.0,1.0
Law,Lawyer,34.0,Female,31.0,Master's,High,10.0,8.0,83.0,154726.0,5.0,1.0,9.0,0.0,0.0,1.0,1.0,0.0,10.0,1.0,2.0,2.0
Business,Economist,28.0,Female,1.0,Bachelor's,Low,10.0,6.0,76.0,163970.0,2.0,0.0,4.0,1.0,0.0,0.0,10.0,2.0,9.0,0.0,1.0,0.0
Education,Biologist,50.0,Male,21.0,Bachelor's,High,10.0,5.0,99.0,101841.0,2.0,1.0,8.0,0.0,0.0,0.0,10.0,2.0,2.0,1.0,1.0,2.0
Education,Doctor,55.0,Female,8.0,High School,Medium,4.0,3.0,7.0,88783.0,7.0,0.0,10.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
Psychology,Lawyer,44.0,Male,8.0,PhD,Low,8.0,6.0,15.0,50588.0,5.0,0.0,8.0,0.0,0.0,0.0,7.0,2.0,6.0,0.0,3.0,0.0
Business,Psychologist,28.0,Female,31.0,Bachelor's,Medium,1.0,5.0,79.0,137771.0,7.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0
Business,Doctor,26.0,Male,39.0,PhD,Medium,9.0,7.0,3.0,152987.0,3.0,0.0,7.0,1.0,0.0,0.0,10.0,2.0,2.0,0.0,3.0,1.0
Arts,Biologist,22.0,Female,38.0,Master's,High,6.0,3.0,79.0,121814.0,5.0,1.0,10.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,2.0,2.0
Education,Software Developer,58.0,Female,38.0,PhD,Low,6.0,2.0,2.0,185240.0,6.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,3.0,0.0
Law,Doctor,48.0,Female,35.0,Master's,High,3.0,2.0,14.0,121747.0,8.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,6.0,1.0,2.0,2.0
Computer Science,Software Developer,23.0,Female,30.0,Bachelor's,Low,6.0,5.0,84.0,169243.0,6.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,1.0,0.0
Business,Teacher,37.0,Male,22.0,Bachelor's,Medium,1.0,5.0,38.0,70624.0,5.0,0.0,5.0,1.0,0.0,0.0,6.0,2.0,1.0,1.0,1.0,1.0
Computer Science,Software Developer,58.0,Female,36.0,Bachelor's,Medium,9.0,3.0,70.0,144214.0,3.0,0.0,7.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,1.0,1.0
Business,Mechanical Engineer,30.0,Female,24.0,Master's,High,1.0,7.0,95.0,122249.0,7.0,0.0,8.0,0.0,0.0,0.0,10.0,1.0,6.0,1.0,2.0,2.0
